TEST NAME,PRICE IN RUPEES
MRI -  CREVICAL SPINE WITH BRACHIAL PLEXUS,9600
DOPPLER STUDY - SINGLE LOWER LIMB VENOUS,2200
X-RAY - NASOPHYRANX FOR ADENOIDS,350
CT - RIGHT HIP,4800
SERUM CALCIUM,200
INSULIN SENSITIVITY,3060
FUNGAL GROWTH - TISSUE,1104
ETHANOL,1620
CT - LOWER LIMB ANGIO WITH CONTRAST,7800
HSV I - IgM,3000
BRUCELLA IgG ANTIBODY,2400
DENGUE - IgG - ELISA,1440
CARBAMAZEPINE,1200
STOMACH HEALTH TEST / GASTRO PANEL,5160
CT - ANKLE ( RIGHT / LEFT ),4800
GAMMA GLOBUIN - CSF,21600
"ASPERGILLUS ANTIBODY IgM, SERUM",7200
CT - NECK,5400
"PORPHYRINS TOTAL, QUALITATIVE, RANDOM",5880
"CORTISOL, SALIVA",2808
RBS (RANDOM BLOOD SUGAR),60
"ARSENIC, RANDOM URINE",4800
BILE SALT,150
"CHOLESTEROL, FLUID",840
"BIOTINIDASE, NEWBORN SCREEN",7200
ANTITHROMIN III,5640
"NEISSERIA GONORRHOEAE PCR, QUALITATIVE",4680
BILE PIGMENT,150
"ANTI SOLUBLE LIVER ANTIGEN (SLA), SERUM",1800
"CHLORIDE,SERUM",180
FILARIA ANTIGEN,1536
ANTI HAV - IgM,1800
"BETA 2 GLYCOPROTEIN I, IgA",1500
CHLAMYDIA ANTIGEN,2088
"ESTRIOL UNCONJUGATED ,FREE (E3)",1600
"ALUMINUM, DIALYSIS FLUID",2808
ANTI SPERM ANTIBODY,1836
DOPPLER STUDY - PENILE,2200
"CATECHOLAMINES, PLASMA",12480
CA 27.29,1800
"CORTISOL SUPPRESSION BY DEXAMETHASONE, OVERNIGHT LOW DOSE",840
AMINO ACIDS QUALITATIVE - URINE,12000
ADRENO CORTICOTROPHIC HORMONE - ACTH,2160
"CORTISOL, FREE, 24-HOUR URINE",2400
"ADENOVIRUS, QUALITATIVE PCR",7200
"HEPATITIS A ANTIBODY (ANTI HAV), IgM, SER",2448
